0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153
A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DS-2 LAB,,LT102,,,,,,,,,SWT,LT302,,,,,,,,,MNS,PROJECT,,C,,,,,,DBMS-1,,F109,SD,F109,SD,T103,SJK,,,,,,,,,,,,,LT401,,,,,,,,,ASH,F105,,,,,,,RAK,MFT,,EL,,E203,RPN,MCES,,DSP,,,,ED-2,,F104,DN,F107,,,,,AA,F106,,,,,SNJ,AI,,FPGA,,ED-2,,F104,,,,,DN,A,,
,6,12:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCS-RA,,,,,,,,,,,,UCS310 L,,,,,,,,,,LAB,,LAB,,,,,,LAB,,,,,,,,UMA035 L,,,,,,,,,,,,UMA035 L,,,,,,,,,,UEC867 L,,,,,,,,LAB,,LAB,,,,LAB,,LAB,,LAB-2,,LAB,,UEC502 L,,UTA025 L,,,,,,UEC612 L,,,,,,LAB,,LAB,,LAB,,UEC612 T,,UEC612 T,,,,,6,12:10:00
Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LT302,,,,,,,,,VAP,JSK,,PF9,,,,,,AV,,,,,,,,LT401 ,NK,,,,,,,,,,,LT401,,,,,,,,,RJD,F105,,,,,,,AKC,MA,,AAR,,,,SUK,,AKK,,TV,,AKV,,E202,NHS,F107,,,,,KSS,F106,,,,,AS,VK,,RSK/APC9,,AKV,,B109,ARP,E203,AA,,,Y,,
,7,13:00:00,UES035 L,,,,,,,,,,,,,,,,,,,,,,UTA024 L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UES035 L,,UES035 L,,UMA035 L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,13:00:00
,,,LT103,,,,,,,,,,,RCH,,,,,,,,,,,LT302,,,,,,,,,AMK-2/SRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LT103,RCH,LT103,RCH,LT401,,,,,,,,,RKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,13:50:00,UCS411 L,,,,,,,,,,,,UTA024 P,,UTA024 P,,UCS414 P,,UCS414 P,,UES035 P,,UCS411 L,,,,,,,,,,UES035 P,,,,UCS411 P,,UCS411 P,,,,UTA026 L,,,,,,,,,,UTA024 P,,UTA024 P,,UCS310 P,,UCS310 P,,,,,,UES035 P,,UCS415 P,,UES035 P,,UCS415 P,,UCS411 L,,,,UCS411 L,,UCS411 L,,UCS414 L,,,,,,,,,,,,,,,,,,,,UEC301 P,,UES018 P,,,,,,,,,,UEC301 T,,,,UES018 P,,,,UEC612 T,,UEC404 T,,,,,,,,,,,,,,,,,,UEC612 T,,,,,,UEC404 T,,,8,13:50:00
,,,LT103,,,,,,,,,,,SAK,PROJECT,,C,,NS-1,,NS-2,,BMC,,LT302,,,,,,,,,SMR,IOT,,,,SS-1,,SS-2,,,,LT301,,,,,,,,,SAT,ED-1A,,ED-2,,DBMS-1,,DBMS-2,,,,,,TFS,,DS-1,,ISD,,DS-2,,LT103,SAK,,,LT103,SAK,LT103,SAK,LT401,,,,,,,,,MCL,,,,,,,,,,,EL,,MFT,,,,,,,,,,E203,HS,,,MFT,,,,B109,MB,E209,RVK,,,,,,,,,,,,,,,,,B109,MB,,,,,E209,RVK,,,
,9,14:40:00,UCS310 L,,,,,,,,,,,,LAB,,LAB,,LAB,,LAB,,LAB,,UCS414 L,,,,,,,,,,LAB,,,,LAB,,LAB,,,,UTA024 L,,,,,,,,,,LAB,,LAB,,LAB,,LAB,,,,,,LAB,,LAB,,LAB,,LAB,,UCS310 L,,UCS310 L,,UCS310 L,,UCS310 L,,UCS310 L,,,,,,,,,,UCS415 L,,,,,,,,,,LAB,,LAB,,,,UEC857 T,,UMA035 L,,,,,,UEC404 T,,LAB,,,,UEC404 T,,,,UMA035 L,,,,,,UNC401 L,,,,,,,,,,UEC404 T,,UMA035 L,,,,,,,9,14:40:00
,,,LT103,,,,,,,,,,,RKR,PF-3,,PF-4,,SMG,,VVK,,VVK,,LT302,,,,,,,,,SAL,SNP,,,,JNE,,PRY-RA,,,,LT301,,,,,,,,,DN/AKV,NAW-RA,,KRK-RA,,NSH-RA,,VAP,,,,,,TA8,,DPK,,DBM,,BHR-CRA,,LT103,RKR,LT103,RKR,LT103,RKR,LT103,RKR,LT401,,,,,,,,,AAD,LT402,,,,,,,,,SSA,APC8,,MA,,,,E209,BG,F105,,,,,VKS,E203,ST,MA,,,,B109,AKS,,,F107,,,,,SJK,F104,,,,,AUS,,,,,B109,AKS,F106,,,,,AK,,,
,10,15:30:00,,,UCS310 P,,UCS414 P,,UCS414 P,,UCS415 P,,UCS310 P,,UCS415 L,,,,,,,,,,UTA024 P,,UTA024 P,,UCS411 P,,UTA024 P,,,,,,,,,,,,,,,,,,,,UTA024 P,,,,UES025 L,,,,,,,,,,UCS411 L,,,,,,,,,,,,UEC513 P,,,,UES020 L,,,,,,,,,,,,UCS310 L,,,,,,,,,,UEC513 P,,UEC404 P,,UMA035 P,,UMA035 P,,UEC513 L,,,,,,UMA035 L,,,,,,UES020 L,,,,UTD002 T,,,,,,,,UTD002 T,,,,,,,,UTD002 T,,,,,,,,,10,15:30:00
