0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153
,5,11:20:00,UCS415 L,,,,,,,,,,,,,,,,,,,,,,UCS415 L,,,,,,,,,,UCS310 L,,,,,,,,,,UTA024 P,,UTA024 P,,UCS310 P,,UCS310 P,,UCS415 P,,,,,,,,,,,,,,,,,,,,,,UCS415 L,,,,UMA017 L,,UCS415 L,,,,,,,,,,,,,,,,UCS503 L,,,,,,UTA025 P,,UTA025 P,,,,UEC301 T,,UEC867 L,,,,,,,,UEC301 P,,UEC513 P,,UEC404 P,,UEC513 L,,UEC612 L,,,,,,UTA025,,,,,,UTA024 P,,UTA024 P,,UEC404 P,,UEC513 L,,,,,,,5,11:20:00
D,,,LT103,,,,,,,,,,,TBH,,,,,,,,,,,LT301,,,,,,,,,SKK,LT302,,,,,,,,,AAD,PROJECT,,C,,DBMS-1,,DBMS-2,,DS-2,,,,,,,,,,,,,,,,,,,,,,T103,TBH,,,T103,SJK,LT103,TBH,,,,,,,,,,,LT401,,,,,,,,,ASH,E204,,E204,,,,E203,RAK,F105,,,,,RPN,,,EL,,MCES,,DSP,,F106,DN,F107,,,,,AA,F104,,,,,AM,ED-1A,,ED-2,,DSP,,F106,,,,,DN,D,,
,6,12:10:00,UTA026 L,,,,,,,,,,,,,,,,,,,,,,UCS414 L,,,,,,,,,,,,,,,,,,,,LAB,,LAB,,LAB,,LAB,,LAB,,,,,,,,,,,,,,,,,,,,,,UCS410 L,,UCS410 L,,UTA026 L,,,,,,,,,,,,,,UCS411 L,,,,,,,,,,SCB,,SCB,,,,,,UEC301 L,,,,,,,,LAB,,LAB,,LAB,,UEC404 L,,,,,,,,UMA035 L,,,,,,LAB,,LAB,,LAB,,UEC404 L,,,,,,,6,12:10:00
A,,,LT103,,,,,,,,,,,DNG,,,,,,,,,,,LT301,,,,,,,,,SAL,,,,,,,,,,,PF7,,PF-4,,SKH,,ARS-RA,,SCS-RA,,,,,,,,,,,,,,,,,,,,,,T201,SD,T201,SD,LT103,DMG,,,,,,,,,,,,,LT401,,,,,,,,,ABJ,,,,,,,,,F105,,,,,HS,,,AAR,,PF1,,SS,,F106,RVK,,,,,,,F104,,,,,TV,DIS-RA,,NAW-RA,,SS,,F106,,,,,RVK,A,,
,7,13:00:00,,,,,,,,,,,,,UES035 L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UCS310L ,,,,,,,,,,UES035 L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,13:00:00
Y,,,,,,,,,,,,,,,LT301,,,,,,,,,VKM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LT302,,,,,,,,,VAP,LT401,,,,,,,,,DBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
,8,13:50:00,,,,,,,,,,,,,UCS310 P,,UCS415 P,,UTA024 P,,UCS310 P,,UCS415 P,,,,,,,,,,,,UCS411 P,,UCS411 P,,UTA024 P,,UCS415 P,,,,UTA026 P,,,,,,,,,,UCS411 L,,,,,,,,,,UCS310 L,,,,,,,,,,UCS411 P,,,,,,,,,,UCS414 P,,UCS414 P,,,,,,,,,,,,,,,,UEC513 L,,,,,,,,UMA035 P,,UMA035 P,,UEC404 P,,UEC404 L,,,,,,UEC404 L,,UTA024 P,,UTA024 P,,UTA024 P,,UTA025 P,,UTA025 P,,UMA035 P,,UEC513 P,,UEC404 L,,,,,,UNC401 P,,UEC612 P,,UTA024 P,,,8,13:50:00
,,,,,,,,,,,,,,,DBMS-1,,DS-1,,ED-1A,,DBMS-2,,DS-2,,,,,,,,,,,,SS-1,,SS-2,,ED-2,,PL-5,,,,WORKSHOP,,,,,,,,,,LT302,,,,,,,,,SIK,LT401,,,,,,,,,RRN,GC-1,,,,,,,,,,NS-1,,NS-2,,,,,,,,,,,,,,,,F105,,,,,,,SKR,PG,,FIST,,DSP,,F107,,,,,ST,F104,AKS,ED-IB,,PROJECT,,C,,E210,,E210,,NEW/G309,,MCES,,F104,,,,,AKS,AI,,FPGA,,ED-1B,,,,
,9,14:40:00,,,,,,,,,,,,,LAB,,LAB,,LAB,,LAB,,LAB,,UES035 L,,,,,,,,,,LAB,,LAB,,LAB,,LAB,,,,PKC,,,,,,,,,,UCS414 L,,,,,,,,,,UCS415 L,,,,,,,,,,LAB,,UEC513 L,,,,,,,,LAB,,LAB,,,,,,,,,,,,,,,,UMA035 L,,,,,,,,LAB,,LAB,,LAB,,UEC301 L,,,,,,UNC401 L,,LAB,,LAB,,LAB,,KSS,,KSS,,LAB,,LAB,,UNC401 L,,,,,,LAB,,LAB,,LAB,,,9,14:40:00
,,,,,,,,,,,,,,,AAD,,MAK,,ASM,,NSH-RA,,TBH,,LT301,,,,,,,,,VKT,SOL,,RIG-RA,,GUS-CRA,,MNS,,,,,,,,,,,,,,LT302,,,,,,,,,TAG,LT401,,,,,,,,,SHD,PRY-RA,,F105,SKR,,,,,,,SR,,SAL,,,,,,,,,,,,,,,,F105,,,,,,,JPR,TV,,SJK,,AKK,,F107,,,,,AAR,F104,DGS,GRC-KA,,PF8,,APC14,,,,,,LC1/LC2,,APC16,,F104,,,,,DGS,AKV,,BG,,GRC-RA,,,,
,10,15:30:00,UCS310 P,,,,UES035 P,,UES035 P,,UTA024 P,,UTA024 P,,UCS415 P,,,,,,,,,,UCS310 L,,,,,,,,,,UCS411 L,,,,,,,,,,UES035 L,,,,,,,,,,UCS411 P,,UCS414 P,,UTA024 P,,UTA024 P,,UCS414 P,,UTA026 P,,,,,,,,,,UTA026 P,,,,,,,,,,,,,,,,,,,,,,UCS310 P,,,,,,UES018 L,,,,,,,,UEC301 P,,UEC404 T,,,,UES018 L,,,,,,UNC401 P,,UEC612 P,,,,UEC612 T,,UTA024 P,,,,UTA025 P,,UTA025 P,,UEC404 P,,UEC513 P,,UNC401 P,,,,,,UEC612 P,,,10,15:30:00
,,,DBMS-1,,,,ISD,,TFS,,ED-1A,,ED-1B,,DS-2,,,,,,,,,,LT302,,,,,,,,,SRO,LT301,,,,,,,,,ABJ,LT402,,,,,,,,,SWT,SS-1,,NS-1,,PROJECT,,C,,NS-2,,WORKSHOP,,,,,,,,,,WORKSHOP,,,,,,,,,,,,,,,,,,,,,,DBMS-2,,,,,,F105,,,,,,,MA/VKS,EL,,E203,APC7,,,F107,,,,,VKS/MA,AI,,FPGA,,,,B109,ARP,ED-2,,,,F106,,F106,,DSP,,MCES,,AI,,,,,,FPGA,,,,
,11,16:20:00,LAB,,,,LAB,,LAB,,LAB,,LAB,,LAB,,,,,,,,,,UTA026 L,,,,,,,,,,UCS415 L,,,,,,,,,,,,,,,,,,,,LAB,,LAB,,LAB,,LAB,,LAB,,DG,,,,,,,,,,DG,,,,,,,,,,,,,,,,,,,,,,LAB,,,,,,,,,,UEC404 T,,,,LAB,,,,,,UEC301 T,,,,,,LAB,,LAB,,,,,,LAB,,,,AM,,AM,,LAB,,LAB,,LAB,,,,,,LAB,,,11,16:20:00
,,,RKR,,,,RCH,,SGK,,NAW-RA,,KAS,,PLK-RA,,,,,,,,,,LT302,,,,,,,,,PCY,LT301,,,,,,,,,MSH,,,,,,,,,,,JNE,,SMG,,AMK-1,,AMK-2,,RTA-RA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,,,,,,,,E202,ST,,,RAK,,,,,,E203,AAR,,,,,SUR,,AA,,,,,,RSD-RA,,,,,,,,SNJ,,DN,,SUR,,,,,,AA,,,,
,12,17:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,17:10:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,18:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,18:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,18:50:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,08:00:00,UCS310 L,,,,,,,,,,,,UTA024 P,,UCS310 P,,UTA024 P,,UTA024 P,,UCS310 P,,UCS310 L,,,,,,,,,,UCS414 P,,UTA024 P,,UCS414 P,,,,UCS411 P,,UCS411 P,,UES035 P,,UCS415 P,,UCS415 P,,UCS411 P,,UTA026 L,,,,,,,,,,UCS310 L,,,,,,,,,,UCS310 L,,UCS310 L,,UCS310 L,,UCS310 L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UEC513 L,,,,,,UTA025 P,,,,,,,,UEC612 P,,UEC612 L,,,,,,UEC513 P,,UEC404 P,,UTA025 P,,UTA025 P,,,,,,,1,08:00:00
W,,,LT103,,,,,,,,,,,RKR,ED-1A,,DBMS-2,,PROJECT,,C,,DBMS-2,,LT301,,,,,,,,,SRO,NS-1,,ED-2,,NS-2,,,,SS-1,,SS-2,,IOT,,DS-1,,DS-2,,PL-3,,LT302,,,,,,,,,PCY,LT401,,,,,,,,,RRN,LT103,RKR,LT103,RKR,LT103,RKR,LT103,RKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F107,,,,,SUK,GG,,,,,,,,FPGA,,F106,,,,,AS,MCES,,DSP,,GG,,GG,,,,,,W,,
,2,08:50:00,UCS411 L,,,,,,,,,,,,LAB,,LAB,,LAB,,LAB,,LAB,,UES035 L,,,,,,,,,,LAB,,LAB,,LAB,,,,LAB,,LAB,,LAB,,LAB,,LAB,,LAB,,UTA024 L,,,,,,,,,,UCS414 L,,,,,,,,,,UCS411 L,,,,UCS411 L,,UCS411 L,,,,,,,,,,,,,,,,,,,,,,UTA025 L,,,,,,,,,,,,,,UEC404 L,,,,,,LAB,,,,,,,,LAB,,UEC513 L,,,,,,LAB,,LAB,,E210,,E210,,,,,,,2,08:50:00
E,,,LT103,,,,,,,,,,,SAK,NAD-RA,,VAP,,PF-8,,APC14,,ARS-RA,,LT301,,,,,,,,,VKT,RTA-RA,,DIS-RA,,ANU-RA,,,,ATI,,PRY-RA,,TA10,,SUG,,KUA-RA,,ABJ,,LT302,,,,,,,,,DG/ASM,LT401,,,,,,,,,VVK,LT103,SAK,,,LT103,SAK,LT103,SAK,,,,,,,,,,,,,,,,,,,,,F104,,,,,,,SCB,,,,,,,F107,,,,,ST,E210,,,,,,,,BG,,F106,,,,,GDS,PF-1,,AKS,,,,,,,,,,E,,
,3,09:40:00,UTA024 L,,,,,,,,,,,,UES035 L,,,,,,,,,,UCS310 P,,UCS310 P,,UTA024 P,,UTA024 P,,UES035 P,,UCS415 L,,,,,,,,,,UTA026 L,,,,,,,,,,UCS414 P,,,,UTA024 P,,UTA024 P,,,,UCS415 L,,,,,,,,,,UTA024 L,,UTA024 L,,UTA024 L,,UTA024 L,,UCS411 P,,UCS411 P,,UCS415 P,,UCS415 P,,UCS414 P,,UMA035 P,,UMA035 P,,UMA035 P,,UMA035 P,,UMA035 P,,UEC867 L,,,,,,,,UEC404 L,,,,,,UTA025 L,,,,,,UEC612 L,,UEC502 L,,UNC401 P,,UEC612 P,,,,UEC513 P,,UEC404 P,,,,UEC612 L,,,,,,UEC404 T,,,,,,,3,09:40:00
D,,,LT103,,,,,,,,,,,DN/ASM,LT301,,,,,,,,,VKM,DBMS-1,,DBMS-2,,PROJECT,,C,,BMC,,LT302,,,,,,,,,MSH,LT402,,,,,,,,,SAT,NS-2,,,,ED-1A,,ED-2,,,,LT401,,,,,,,,,SHD,LT103,DN/ASM,LT103,DN/ASM,LT103,DN/ASM,LT103,DN/ASM,SS-1,,SS-2,,DS-1,,DS-2,,NS-1,,,,,,PG,,FIST,,G309,,F104,,,,,,,AKC,F105,,,,,AKK,F107,,,,,VS,F106,MB,E209,NHS,AI,,FPGA,,,,MCES,,DSP,,,,F106,,,,,MB,E203,APC7,,,,,D,,
,4,10:30:00,UES035 L,,,,,,,,,,,,UTA024 L,,,,,,,,,,LAB,,LAB,,LAB,,LAB,,LAB,,UCS310 L,,,,,,,,,,,,,,,,,,,,LAB,,,,LAB,,LAB,,,,UCS411 L,,,,,,,,,,,,,,UES035 L,,UES035 L,,LAB,,LAB,,LAB,,LAB,,LAB,,LAB-1,,LAB-2,,LAB,,LAB,,LAB,,UEC404 L,,,,,,,,UES018 P,,,,,,UMA035 L,,,,,,UEC404 L,,UNC401 L,,LAB,,LAB,,,,LAB,,LAB,,,,UEC404 L,,,,,,UNC401 L,,,,,,,4,10:30:00
N,,,LT103,,,,,,,,,,,RCH,LT301,,,,,,,,,AMK-2/SRO,CHP,,NSH-RA,,APC-6,,HVR,,VKT,,LT302,,,,,,,,,AAD,,,,,,,,,,,TAG,,,,NAW-RA,,KAS,,,,LT401,,,,,,,,,SMR,,,,,LT103,RCH,LT103,RCH,JNE,,SIK,,TBH,,SSA,,VPS,,RKR,,LC13/LC14,,VKS,,LC5/LC6,,LC19/LC20,,F104,,,,,,,SS,WORKSHOP,,,,,,F107,,,,,MR,F106,AKS,F105/DGS,,VK,,ARP,,,,SUK,,SNJ,,,,F106,,,,,AKS,F105,,,,,DGS,N,,
,5,11:20:00,UTA024 P,,UTA024 P,,UCS415 P,,UCS415 P,,UCS414 P,,UCS414 P,,UCS414 L,,,,,,,,,,,,,,,,,,,,UTA026 L,,,,,,,,,,UES035 L,,,,,,,,,,UCS415 L,,,,,,,,,,,,,,,,,,,,UCS410 L,,UCS410 L,,UMA017 L,,UMA035 L,,,,,,,,,,,,UMA035 L,,,,,,,,,,UEC301 L,,,,,,,,DG,,,,,,UEC301 L,,,,,,,,,,UEC404 T,,UEC404 T,,,,UMA035 L,,,,,,UEC612 T,,,,,,UMA035 L,,,,,,,5,11:20:00
E,,,PROJECT,,C,,DS-1,,DS-2,,NS-1,,NS-2,,LT302,,,,,,,,,SR,,,,,,,,,,,LT301,,,,,,,,,SAT,LT102,,,,,,,,,SWT,LT401,,,,,,,,,MNS,,,,,,,,,,,F109,SD,F109,SD,T103,SJK,LT402,NK,,,,,,,,,,,LT402,,,,,,,,,RJD,F104,,,,,,,RAK,,,,,,,F107,,,,,AAR,,,,,E209,RVK,E203,KBS,,,F106,,,,,TV,B109,APC9,,,,,F105,,,,,AK,E,,
,6,12:10:00,LAB,,LAB,,LAB,,LAB,,LAB,,LAB,,UCS411 L,,,,,,,,,,,,,,,,,,,,UTA024 L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UEC513 L,,,,,,,,,,,,,,,,,,,,,,,,,,UEC513 L,,,,,,,,UEC867 T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,12:10:00
S,,,APC12,,PF-6,,TBH,,SCS-RA,,RJK,,SUS,,LT302,,,,,,,,,SOL,,,,,,,,,,,LT301,,,,,,,,,AM/SRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F104,SKR,,,,,,,,,,,,,,,,,,,,,,,,,F104,,,,,,,SKR,E203,RPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,
,7,13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UCS310 L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UMA035 L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UEC612 T,,,,,,,,,,,,,,,,,,,,,7,13:00:00
D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LT302,,,,,,,,,SKH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LT401,,,,,,,,,RKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E203,ARP,,,,,,,,,,,,,,,,,,,D,,
,8,13:50:00,,,,,,,,,UES035 P,,UES035 P,,,,,,,,,,UCS411 P,,UCS411 L,,,,,,,,,,,,,,,,,,,,UCS415 L,,,,,,,,,,,,UCS411 P,,,,,,UCS415 P,,UCS414 P,,UCS414 P,,UTA024 P,,UTA024 P,,UTA024 P,,UCS415 P,,,,,,UCS415 P,,UCS310 L,,,,,,,,,,UCS310 P,,,,UCS503 P,,,,,,,,,,,,,,,,,,,,,,,,UEC301 T,,UMA035 L,,UEC502 T,,UTA024 L,,,,,,UEC612 P,,UNC401 P,,UEC404 P,,UMA035 L,,,,,,UEC513 P,,UTA024 P,,,,,8,13:50:00
A,,,,,,,,,,,ISD,,TFS,,,,,,,,,,SS-2,,LT301,,,,,,,,,SMR,,,,,,,,,,,LT302,,,,,,,,,SSA,,,PL-4,,,,,,DS-2,,NS-1,,NS-2,,PROJECT,,C,,ED-1A,,DS-1,,,,,,DS-1,,LT401,,,,,,,,,AAD,DBMS-1,,,,SE-1,,,,,,,,,,,,,,,,,,,,,,,,E202,AAR,F106,FM,E209,NHS,F107,,,,,MKA,FPG,,AI,,DSP,,F106,,,,,FM,MCES,,ED-2,,,,A,,
,9,14:40:00,,,,,,,,,LAB,,LAB,,,,,,,,,,LAB,,UCS415 L,,,,,,,,,,UES035 L,,,,,,,,,,UCS411 L,,,,,,,,,,,,LAB,,,,,,LAB,,LAB,,LAB,,LAB,,LAB,,LAB,,LAB,,UNC401 L,,,,LAB,,UCS503 L,,,,,,,,,,LAB,,,,LAB,,,,,,UEC404 T,,,,,,,,UEC301 L,,,,,,UEC867 L,,,,,,UNC401 L,,UEC612 T,,UNC401 L,,,,,,LAB,,LAB,,LAB,,UNC401 L,,,,,,LAB,,LAB,,UEC612 T,,,9,14:40:00
Y,,,,,,,,,,,RCH,,NJS,,,,,,,,,,DAM-RA,,LT301,,,,,,,,,SKK,LT402,,,,,,,,,SNP,LT302,,,,,,,,,JNE,,,SOL,,,,,,SHD,,SMG,,MCL,,APC6,,PF6,,DIS-RA,,MNS,,F107,VK,,,MNS,,LT401,,,,,,,,,HMK,CHP,,,,ASH,,,,,,E203,ST,,,,,,,F105,,,,,HS,F104,,,,,BG,F106,DGS,E209,MB,F107,,,,,VK,AS,,SUR,,RVK,,F106,,,,,DGS,DG,,GUS-CRA,,E209,MB,Y,,
,10,15:30:00,UCS411 P,,UCS411 P,,UTA024 P,,UTA024 P,,,,,,UTA026 L,,,,,,,,,,,,,,,,,,,,UTA026 P,,,,,,,,,,UCS414 P,,UCS414 P,,,,UES035 P,,,,,,,,,,,,,,,,,,,,,,,,UTA024 P,,,,,,,,UCS310 P,,UCS310 P,,UCS503 P,,UCS503 P,,UVCS415 P,,UCS415 L,,,,,,,,,,UES018 P,,UEC301 P,,UEC404 P,,UEC513 P,,UMA035 L,,,,,,UES018 P,,,,UEC404 T,,UMA035 P,,UTA025 P,,UTA025 P,,UTA025 P,,UTA024 P,,UTA024 P,,,,UMA035 P,,UTA025 P,,UTA025 P,,UMA035 P,,UMA035 P,,UTA025 P,,UTA025 P,,,10,15:30:00
,,,SS-1,,SS-2,,ED-1A,,ED-2,,,,,,LT302,,,,,,,,,PKC,,,,,,,,,,,WORKSHOP,,,,,,,,,,NS-1,,NS-2,,,,IOT,,,,,,,,,,,,,,,,,,,,,,,,ED-1B,,,,,,,,DBMS-1,,DBMS-2,,SE-1,,SE-2,,DS-2,,LT401,,,,,,,,,SSA,MFT,,EL,,DSP,,MCES,,F105,,,,,VKS,MFT,,,,E203,AKK,,,GG,,KSS,,KSS,,PROJECT,,C,,,,NEW/G309,,F106,,F106,,,,NA2,,GG,,GG,,,,
,11,16:20:00,LAB,,LAB,,LAB,,LAB,,,,,,UCS310 L,,,,,,,,,,,,,,,,,,,,DMG,,,,,,,,,,LAB,,LAB,,,,LAB,,,,,,,,,,,,,,,,,,,,,,,,LAB,,,,,,,,LAB,,LAB,,LAB,,LAB,,LAB,,UCS414 L,,,,,,,,,,LAB,,LAB,,LAB,,LAB,,,,UEC301 T,,,,LAB,,,,,,LAB-1,,E211,,E210,,E210,,LAB,,LAB,,,,LAB,,PMS,,PMS,,LAB-1,,LAB,,E211,,E211,,,11,16:20:00
,,,SAK,,SIK,,ASM,,KAS,,,,,,LT302,,,,,,,,,RRN,,,,,,,,,,,,,,,,,,,,,GAS,,VVK,,,,SWT,,,,,,,,,,,,,,,,,,,,,,,,KRK-RA,,,,,,,,JHB,,SKH,,PRM-RA,,HMK,,TNV-RA,,LT401,,,,,,,,,SAL,MA,,AAR,,SS,,SUK,,,,E203,APC8,,,MA,,,,,,MG,,,,,,,,NJ,,NHS,,,,AK,,,,,,MG,,JPR,,,,,,,,
,12,17:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,17:10:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,18:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,18:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,18:50:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,08:00:00,UTA024 P,,UTA024 P,,,,UCS310 P,,UCS411 P,,UCS411 P,,,,,,,,,,,,,,,,,,,,UCS310 P,,UCS415 L,,,,,,,,,,,,UCS415 P,,,,,,,,UTA026 P,,,,,,,,,,,,,,UCS414 P,,,,,,,,,,UES035 P,,,,UCS411 L,,,,,,,,,,,,,,UCS414 P,,UCS414 P,,,,,,,,UES018 P,,,,,,,,,,UEC404 P,,UEC513 P,,UES018 P,,,,UEC612 L,,,,,,,,UTA024 P,,UTA024 P,,UTA024 P,,,,,,,,UEC612 L,,,,,,,1,08:00:00
T,,,ED-1,,ED-1B,,,,DBMS-2,,SS-1,,SS-2,,,,,,,,,,,,,,,,,,,,DBMS-1,,LT302,,,,,,,,,MSH,,,DS-1,,,,,,,,WORKSHOP,,,,,,,,,,,,,,PL-3,,,,,,,,,,I&C,,,,LT401,,,,,,,,,JNE,,,,,NS-1,,NS2,,,,,,,,MFT,,,,,,,,,,DSP,,MCES,,MFT,,,,F104,DGS,,,,,,,ED-2,,PROJECT,,C,,,,,,,,F104,,,,,ARP,T,,
,2,08:50:00,LAB,,LAB,,,,LAB,,LAB,,LAB,,,,,,,,,,,,,,,,,,,,LAB,,UCS411 L,,,,,,,,,,,,LAB,,,,,,,,PKC,,,,,,,,,,,,,,LAB,,,,,,,,UNC401 L,,LAB,,,,UCS503 L,,,,,,,,,,,,,,LAB,,LAB,,,,,,,,LAB,,,,UEC301 L,,,,,,LAB,,LAB,,LAB,,UNC401 P,,UEC404 L,,UNC401 L,,,,,,LAB,,LAB,,LAB,,UNC401 L,,,,,,UEC404 L,,,,,,,2,08:50:00
H,,,ASM,,GUS-CRA,,,,RRN,,DAM-RA,,RIG-RA,,,,,,,,,,,,,,,,,,,,SKH,,LT302,,,,,,,,,ABJ,,,RMT,,,,,,,,,,,,,,,,,,,,,,SUS,,,,,,,,F107,VK,DBM,,,,LT401,,,,,,,,,HMK,,,,,SR,,VVK,,,,,,,,MA,,,,F105,,,,,HS,APC-7,,GDS,,MA,,F106,DGS,F104,RVK,F107,,,,,VK,RSD-RA,,PF-6,,PF9,,F106,,,,,DGS,F104,,,,,RVK,H,,
,3,09:40:00,UCS411 L,,,,,,,,,,,,,,UES035 P,,UCS310 P,,UES035 P,,UTA024 P,,UTA024 P,,UTA024 P,,,,,,UTA024 P,,,,UES035 P,,UES035 P,,,,,,,,UCS411 P,,,,,,UCS414 P,,,,,,,,,,,,,,UTA024 P,,,,UCS414 P,,,,UCS411 L,,,,UCS411 L,,UCS411 L,,,,,,,,UCS310 P,,UCS503 P,,UCS411 P,,UCS411 P,,UCS415 P,,UCS415 P,,UCS414 P,,UMA035 L,,,,,,,,UTA025 P,,,,UEC513 P,,UMA035 P,,UMA035 P,,UEC404 P,,UEC404 L,,UEC513 L,,UEC513 L,,,,,,UMA035 P,,UEC612 P,,UNC401 P,,UEC404 L,,,,,,UEC513 L,,,,,,,3,09:40:00
